brokerName,top_listed_neighbourhood,total_listings,average_listing_price,listing_in_neighbourhood
RE/MAX Crest Realty Brokerage,Downtown,70,2440917.8714285707,16
Sutton Group-West Coast Realty Brokerage,Downtown,62,4154714.4516129037,9
Oakwyn Realty Ltd. Brokerage,Downtown,52,1862890.3269230763,18
Macdonald Realty Brokerage,Downtown,42,3837387.8095238092,9
Stilhavn Real Estate Services Brokerage,Downtown,27,3042488.888888889,6
RE/MAX Select Properties Brokerage,Kitsilano,27,2677922.2222222225,4
RE/MAX Select Properties Brokerage,Kensington-Cedar Cottage,27,2677922.2222222225,4
Royal Pacific Realty Corp. Brokerage,Kerrisdale,26,5071834.615384615,5
Engel & Volkers Vancouver Brokerage,Downtown,25,2000402.4000000001,6
Nu Stream Realty Inc. Brokerage,Killarney,20,2906390.0000000005,3
Century 21 In Town Realty Brokerage,Renfrew-Collingwood,18,1210266.6666666665,7
eXp Realty Brokerage,Downtown,18,2683855.5555555555,4
Dexter Realty Brokerage,Kitsilano,17,4591588.235294118,6
RE/MAX City Realty Brokerage,Victoria-Fraserview,16,2330836.1875,4
Oakwyn Realty Downtown Ltd. Brokerage,Fairview,15,1163899.9333333333,4
Oakwyn Realty Downtown Ltd. Brokerage,Downtown,15,1163899.9333333333,4
Keller Williams Realty VanCentral Brokerage,Fairview,15,1322906.6666666665,3
Keller Williams Realty VanCentral Brokerage,Downtown,15,1322906.6666666665,3
RE/MAX Select Realty Brokerage,Kensington-Cedar Cottage,15,1732466.6666666667,3
Rennie & Associates Realty Ltd. Brokerage,Downtown,15,3122833.3333333335,7
Luxmore Realty Brokerage,West Point Grey,13,9667983.076923076,4
Royal LePage Sussex Brokerage,Downtown,12,2236240.6666666665,5
Dracco Pacific Realty Brokerage,Shaughnessy,12,5185583.333333333,2
Dracco Pacific Realty Brokerage,Dunbar-Southlands,12,5185583.333333333,2
Dracco Pacific Realty Brokerage,West Point Grey,12,5185583.333333333,2
Dracco Pacific Realty Brokerage,Downtown,12,5185583.333333333,2
RE/MAX Real Estate Services Brokerage,Kerrisdale,10,3451488.8,2
Pacific Evergreen Realty Ltd. Brokerage,Downtown,10,2342399.0,2
Pacific Evergreen Realty Ltd. Brokerage,Oakridge,10,2342399.0,2
Pacific Evergreen Realty Ltd. Brokerage,Arbutus-Ridge,10,2342399.0,2
VIRANI REAL ESTATE ADVISORS Brokerage,Downtown,9,10571933.333333334,6
LeHomes Realty Premier Brokerage,West Point Grey,9,2662111.111111111,2
Faith Wilson Group Brokerage,Downtown,9,6357422.222222222,3
Heller Murch Realty Brokerage,Kensington-Cedar Cottage,8,2428350.0,2
Royal Pacific Realty (Kingsway) Ltd. Brokerage,Downtown,8,1124850.0,2
Sutton Group - 1st West Realty Brokerage,Sunset,8,1693999.8749999998,1
Sutton Group - 1st West Realty Brokerage,Hastings-Sunrise,8,1693999.8749999998,1
Sutton Group - 1st West Realty Brokerage,Kitsilano,8,1693999.8749999998,1
Sutton Group - 1st West Realty Brokerage,West End,8,1693999.8749999998,1
Sutton Group - 1st West Realty Brokerage,Oakridge,8,1693999.8749999998,1
Sutton Group - 1st West Realty Brokerage,Dunbar-Southlands,8,1693999.8749999998,1
Sutton Group - 1st West Realty Brokerage,Downtown,8,1693999.8749999998,1
Sutton Group - 1st West Realty Brokerage,Mount Pleasant,8,1693999.8749999998,1
Multiple Realty Ltd. Brokerage,Renfrew-Collingwood,7,1610271.4285714286,2
Macdonald Realty Westmar Brokerage,West End,7,1182211.4285714286,2
Sotheby's International Realty Canada Brokerage,Fairview,7,5026857.142857143,2
RE/MAX Masters Realty Brokerage,Downtown,7,2936285.714285714,3
RE/MAX Masters Realty Brokerage,West End,7,2936285.714285714,3
Regent Park Realty Inc. Brokerage,Downtown,7,3467428.571428572,2
TRG The Residential Group Realty Brokerage,Mount Pleasant,7,1542542.857142857,2
TRG The Residential Group Realty Brokerage,Downtown,7,1542542.857142857,2
Homeland Realty Brokerage,West Point Grey,6,2824300.0,1
Homeland Realty Brokerage,Kensington-Cedar Cottage,6,2824300.0,1
Homeland Realty Brokerage,Kitsilano,6,2824300.0,1
Homeland Realty Brokerage,Downtown,6,2824300.0,1
Homeland Realty Brokerage,Marpole,6,2824300.0,1
Homeland Realty Brokerage,Dunbar-Southlands,6,2824300.0,1
Team 3000 Realty Ltd. Brokerage,Hastings-Sunrise,6,1752950.0,1
Team 3000 Realty Ltd. Brokerage,Renfrew-Collingwood,6,1752950.0,1
Team 3000 Realty Ltd. Brokerage,Kitsilano,6,1752950.0,1
Team 3000 Realty Ltd. Brokerage,Arbutus-Ridge,6,1752950.0,1
Team 3000 Realty Ltd. Brokerage,Downtown,6,1752950.0,1
Team 3000 Realty Ltd. Brokerage,Kensington-Cedar Cottage,6,1752950.0,1
Coldwell Banker Prestige Realty Brokerage,West End,6,1063800.0,3
Royal LePage Westside Brokerage,Downtown,6,6225800.0,2
Interlink Realty Brokerage,Mount Pleasant,5,2403000.0,1
Interlink Realty Brokerage,Kensington-Cedar Cottage,5,2403000.0,1
Interlink Realty Brokerage,Dunbar-Southlands,5,2403000.0,1
Interlink Realty Brokerage,South Cambie,5,2403000.0,1
Interlink Realty Brokerage,Downtown,5,2403000.0,1
Oakwyn Realty Encore Brokerage,Mount Pleasant,5,1126160.0,1
Oakwyn Realty Encore Brokerage,Fairview,5,1126160.0,1
Oakwyn Realty Encore Brokerage,Downtown,5,1126160.0,1
Oakwyn Realty Encore Brokerage,West End,5,1126160.0,1
Oakwyn Realty Encore Brokerage,Riley Park,5,1126160.0,1
Sutton Centre Realty Brokerage,South Cambie,4,1548225.0,1
Sutton Centre Realty Brokerage,West End,4,1548225.0,1
Sutton Centre Realty Brokerage,Downtown,4,1548225.0,1
Sutton Centre Realty Brokerage,Kitsilano,4,1548225.0,1
Royal LePage West Real Estate Services Brokerage,Downtown,4,1484249.75,2
Stonehaus Realty Corp. Brokerage,West End,4,1096474.75,2
RE/MAX 2000 Realty Brokerage,Kensington-Cedar Cottage,4,1924500.0,2
Evermark Real Estate Services Brokerage,Shaughnessy,4,1934900.0,4
Blu Realty Brokerage,Kensington-Cedar Cottage,3,1157666.6666666667,2
Anson Realty Ltd. Brokerage,Downtown,3,864633.3333333334,2
Rennie & Associates Realty - Jason Soprovich Brokerage,Downtown,3,7924666.666666667,2
Prompton Real Estate Services Inc. Brokerage,Downtown,3,8443666.666666668,1
Prompton Real Estate Services Inc. Brokerage,Fairview,3,8443666.666666668,1
Prompton Real Estate Services Inc. Brokerage,Kitsilano,3,8443666.666666668,1
YVR International Realty Brokerage,Strathcona,3,1863333.3333333333,1
YVR International Realty Brokerage,Mount Pleasant,3,1863333.3333333333,1
YVR International Realty Brokerage,Kensington-Cedar Cottage,3,1863333.3333333333,1
Royal LePage Sterling Realty Brokerage,Kitsilano,3,1582966.6666666665,1
Royal LePage Sterling Realty Brokerage,Renfrew-Collingwood,3,1582966.6666666665,1
Royal LePage Sterling Realty Brokerage,Downtown,3,1582966.6666666665,1
Behroyan & Associates Real Estate Services Brokerage,Downtown,2,1373500.0,2
Selmak Realty Limited Brokerage,Sunset,2,1723500.0,1
Selmak Realty Limited Brokerage,Renfrew-Collingwood,2,1723500.0,1
One Percent Realty Ltd. Brokerage,Mount Pleasant,2,1212000.0,1
One Percent Realty Ltd. Brokerage,Fairview,2,1212000.0,1
Sutton Group - Vancouver First Realty Brokerage,Downtown,2,1269443.5,2
RE/MAX - Stuart Bonner Brokerage,West Point Grey,2,1798000.0,1
RE/MAX - Stuart Bonner Brokerage,Strathcona,2,1798000.0,1
Zolo Realty Brokerage,Grandview-Woodland,2,859450.0,1
Zolo Realty Brokerage,Downtown,2,859450.0,1
LDG Realty Brokerage,Kerrisdale,2,16134000.0,1
LDG Realty Brokerage,Shaughnessy,2,16134000.0,1
Oakwyn Realty Northwest Brokerage,Kensington-Cedar Cottage,2,1617000.0,1
Oakwyn Realty Northwest Brokerage,Grandview-Woodland,2,1617000.0,1
Wesgroup Realty Ltd. Brokerage,Killarney,2,986650.0,1
Wesgroup Realty Ltd. Brokerage,Sunset,2,986650.0,1
Royal Pacific Riverside Realty Ltd. Brokerage,Arbutus-Ridge,2,12340440.0,1
Royal Pacific Riverside Realty Ltd. Brokerage,Kerrisdale,2,12340440.0,1
Royal Pacific Lions Gate Realty Ltd. Brokerage,Downtown,2,1649500.0,2
Magsen Realty Inc. Brokerage,Sunset,2,1674000.0,1
Magsen Realty Inc. Brokerage,Arbutus-Ridge,2,1674000.0,1
RE/MAX Westcoast Brokerage,Riley Park,2,3274000.0,1
RE/MAX Westcoast Brokerage,Marpole,2,3274000.0,1
LeHomes Realty Brokerage,Renfrew-Collingwood,2,949000.0,1
LeHomes Realty Brokerage,Arbutus-Ridge,2,949000.0,1
RA Realty Alliance Inc. Brokerage,Renfrew-Collingwood,2,1943400.0,1
RA Realty Alliance Inc. Brokerage,Kerrisdale,2,1943400.0,1
Regent Park Fairchild Realty Inc. Brokerage,Kitsilano,2,2407500.0,1
Regent Park Fairchild Realty Inc. Brokerage,Downtown,2,2407500.0,1
RE/MAX All Points Realty Brokerage,West End,2,1212400.0,1
RE/MAX All Points Realty Brokerage,Renfrew-Collingwood,2,1212400.0,1
Cathay Pacific Realty Ltd. Brokerage,Downtown,2,1988000.0,2
Icon&co. Boutique Inc. Brokerage,Shaughnessy,1,23800000.0,1
Sunrich Realty Brokerage,Downtown,1,768000.0,1
RE/MAX Little Oak Realty (Surrey) Brokerage,Renfrew-Collingwood,1,1599000.0,1
ICI Source Real Asset Services Inc. Brokerage,Kitsilano,1,4880000.0,1
Bosa Properties Realty Inc. Brokerage,West End,1,16999800.0,1
Sutton Group Mattu Realty Brokerage,South Cambie,1,6780000.0,1
RE/MAX Sabre Realty Group Brokerage,Kitsilano,1,479000.0,1
Oak West Realty Ltd. Brokerage,West Point Grey,1,2450000.0,1
Grand Central Realty Brokerage,Oakridge,1,2650000.0,1
Renanza Realty Inc. Brokerage,West Point Grey,1,3980000.0,1
Astral RE Services Inc. Brokerage,Kitsilano,1,1080000.0,1
MLA Canada Realty Brokerage,Downtown,1,1979900.0,1
Park Georgia Realty Ltd. Brokerage,Fairview,1,1650000.0,1
Woodhouse Realty Brokerage,Hastings-Sunrise,1,1499900.0,1
Homelife Benchmark Titus Realty Brokerage,West End,1,425000.0,1
Presidio Professional Real Estate Services Inc. Brokerage,Arbutus-Ridge,1,1288000.0,1
The Partners Real Estate Brokerage,Kitsilano,1,638000.0,1
RE/MAX LIFESTYLES REALTY Brokerage,Kensington-Cedar Cottage,1,1112000.0,1
Royal LePage - Wolstencroft Brokerage,Hastings-Sunrise,1,1739000.0,1
Youlive Realty Brokerage,Kitsilano,1,2590000.0,1
Leung Realty & Associates Inc. Brokerage,Dunbar-Southlands,1,2380000.0,1
HomeLife Advantage Realty Ltd Brokerage,West Point Grey,1,3988800.0,1
Lico Realty Ltd. Brokerage,Killarney,1,998000.0,1
Century 21 Supreme Realty Inc. Brokerage,Killarney,1,899999.0,1
Royal Pacific Tri-Cities Realty Brokerage,West End,1,378000.0,1
Sutton Group-Alliance R.E.S. Brokerage,Kensington-Cedar Cottage,1,1888888.0,1
Bel-Air Realty Group Ltd. Brokerage,Grandview-Woodland,1,1049000.0,1
Sutton Group-West Coast Realty (Abbotsford) Brokerage,Killarney,1,789900.0,1
Coldwell Banker Universe Realty Brokerage,Sunset,1,1425000.0,1
WESTSIDE Tom Gradecak Realty Brokerage,Kitsilano,1,1590000.0,1
Royal LePage Sussex - Edmonds Advantage Brokerage,West End,1,1228800.0,1
Jovi Realty Inc. Brokerage,Renfrew-Collingwood,1,1249800.0,1
Macdonald Platinum Marketing Ltd. Brokerage,Shaughnessy,1,15000000.0,1
Optim Pacific Realty Brokerage,West End,1,530000.0,1
Royal LePage Northstar Realty (S. Surrey) Brokerage,Dunbar-Southlands,1,2399000.0,1
TRG The Residential Group Downtown Realty Brokerage,Renfrew-Collingwood,1,1675000.0,1
Keller Williams Elite Realty Brokerage,Riley Park,1,1099900.0,1
Momentum Realty Inc. Brokerage,West End,1,599000.0,1
RE/MAX Lionel Lorence Brokerage,Downtown,1,4500000.0,1
Sutton Group-West Coast Realty (Surrey/24) Brokerage,Renfrew-Collingwood,1,928000.0,1
Bode Platform Inc. Brokerage,Grandview-Woodland,1,1388888.0,1
Sutton Group - Grimson Realty Brokerage,Fairview,1,1350000.0,1
Vanhaus Gruppe Realty Inc. Brokerage,Sunset,1,1669000.0,1
London Pacific Brokerage,Renfrew-Collingwood,1,1688000.0,1
Royal First Realty Brokerage,Downtown,1,1988000.0,1
Homelife Benchmark Realty Corp. (White Rock) Brokerage,West End,1,380000.0,1
Metro Edge Realty Brokerage,Hastings-Sunrise,1,2798000.0,1
Dien Realty Brokerage,Hastings-Sunrise,1,528000.0,1
Real Broker B.C. Ltd. Brokerage,Downtown,1,1168000.0,1
Amex Broadway West Realty Brokerage,West Point Grey,1,3790000.0,1
"Angell, Hasman & Associates Realty Ltd. Brokerage",Downtown,1,1425000.0,1
Evergreen West Realty Brokerage,Fairview,1,938000.0,1
RE/MAX Colonial Pacific Realty Brokerage,Downtown,1,8995000.0,1
Reign Realty Brokerage,Mount Pleasant,1,899999.0,1
Macdonald Commercial Real Estate Services Ltd. Brokerage,Kensington-Cedar Cottage,1,1499900.0,1
Macdonald Realty (Surrey/152) Brokerage,Riley Park,1,659900.0,1
RE/MAX Elevate Realty Brokerage,Downtown,1,1680000.0,1
Argus Estates (1983) Ltd. Brokerage,Renfrew-Collingwood,1,1248000.0,1
Umber Realty Inc. Brokerage,Grandview-Woodland,1,1488000.0,1
SRS Westside Realty Brokerage,Sunset,1,1498000.0,1
eXp Realty (Branch) Brokerage,Renfrew-Collingwood,1,799888.0,1
