streetAddress,neighbourhoodName,bathrooms,bedrooms,price,livingArea,homeType,dollarPerSqFt,ranking
1055 Broadway E #204,Fairview,1.0,1.0,550000.0,518.0,CONDO,1061.78,1
1551 W 11th Ave #208,Fairview,1.0,1.0,555000.0,685.0,CONDO,810.22,2
1216 W 11th Ave #206,Fairview,1.0,1.0,558000.0,865.0,CONDO,645.09,3
2224 Eton St #103,Grandview-Woodland,1.0,0.0,434000.0,435.0,CONDO,997.7,1
1533 E 8th Ave #101,Grandview-Woodland,1.0,1.0,649900.0,595.0,CONDO,1092.27,2
1718 Venables St #404,Grandview-Woodland,1.0,1.0,659000.0,703.0,CONDO,937.41,3
2409 W 43rd Ave #606,Kerrisdale,1.0,1.0,439000.0,664.0,CONDO,661.14,1
2250 W 43rd Ave #105,Kerrisdale,1.0,3.0,499999.0,1254.0,CONDO,398.72,2
7061 Cypress St #C,Kerrisdale,4.0,3.0,1650000.0,1349.0,TOWNHOUSE,1223.13,3
5626 Larch St #205,Arbutus-Ridge,2.0,2.0,788000.0,962.0,CONDO,819.13,1
5555 Yew St #1101,Arbutus-Ridge,2.0,2.0,1099000.0,1239.0,CONDO,887.01,2
4655 Valley Dr #1215,Arbutus-Ridge,2.0,2.0,1198000.0,1129.0,CONDO,1061.12,3
830 E 7th Ave #211,Mount Pleasant,1.0,1.0,379900.0,439.0,CONDO,865.38,1
440 E 5th Ave #305,Mount Pleasant,1.0,1.0,579000.0,605.0,CONDO,957.02,2
488 Kingsway #W407,Mount Pleasant,2.0,2.0,659900.0,780.0,CONDO,846.03,3
221 Union St #419,Strathcona,1.0,1.0,635000.0,635.0,CONDO,1000.0,1
289 Alexander St #808,Strathcona,2.0,1.0,798000.0,790.0,CONDO,1010.13,2
383 East Hastings St,Strathcona,3.0,7.0,1549000.0,3310.0,SINGLE_FAMILY,467.98,3
1251 W 71st Ave #102,Marpole,1.0,1.0,499000.0,730.0,CONDO,683.56,1
489 Interurban Way #1505,Marpole,1.0,1.0,548000.0,468.0,CONDO,1170.94,2
489 Interurban Way #710,Marpole,1.0,1.0,599000.0,561.0,CONDO,1067.74,3
5926 Tisdall St #506,Oakridge,1.0,2.0,498000.0,946.0,CONDO,526.43,1
2146 W 43rd Ave #201,Oakridge,1.0,2.0,499000.0,1059.0,CONDO,471.2,2
5770 Oak St #212,Oakridge,1.0,1.0,650000.0,813.0,CONDO,799.51,3
1011 King Edward Ave W #201,Shaughnessy,2.0,2.0,799900.0,902.0,CONDO,886.81,1
6 W 17th Ave #7,Shaughnessy,2.0,2.0,1575000.0,1238.0,TOWNHOUSE,1272.21,2
6 W 17th Ave #12,Shaughnessy,2.0,1.0,1725000.0,1358.0,TOWNHOUSE,1270.25,3
4083 Cambie St #208,South Cambie,1.0,1.0,698000.0,621.0,CONDO,1123.99,1
888 W 16th Ave #2,South Cambie,2.0,2.0,1049000.0,1127.0,CONDO,930.79,2
5631 Willow St,South Cambie,3.0,3.0,1628000.0,1328.0,TOWNHOUSE,1225.9,3
2418 Broad Way #302,Renfrew-Collingwood,2.0,2.0,419900.0,992.0,APARTMENT,423.29,1
3455 Ascot Pl #812,Renfrew-Collingwood,1.0,1.0,445000.0,495.0,CONDO,898.99,2
3438 Vanness Ave #808,Renfrew-Collingwood,1.0,1.0,499000.0,548.0,CONDO,910.58,3
1933 W 5th Ave #305,Kitsilano,1.0,1.0,479000.0,449.0,CONDO,1066.82,1
1628 Cypress St,Kitsilano,1.0,1.0,535000.0,502.0,CONDO,1065.74,2
1510 W 1st Ave #603,Kitsilano,1.0,2.0,598000.0,843.0,CONDO,709.37,3
8420 Jellicoe St #207,Killarney,1.0,1.0,503800.0,764.0,CONDO,659.42,1
2763 Chandlery Pl PENTHOUSE 2,Killarney,1.0,1.0,575000.0,621.0,CONDO,925.93,2
2883 E Kent Ave N #2,Killarney,2.0,2.0,649000.0,947.0,TOWNHOUSE,685.32,3
8138 Fraser St #304,Sunset,1.0,0.0,528000.0,489.0,CONDO,1079.75,1
3445 E 49th Ave #98,Sunset,2.0,4.0,833000.0,1393.0,TOWNHOUSE,597.99,2
3430 E Kent Ave S #701,Sunset,2.0,3.0,983400.0,1022.0,CONDO,962.23,3
702 King Edward Ave E #212,Kensington-Cedar Cottage,1.0,1.0,629900.0,682.0,CONDO,923.61,1
3996 Dumfries St #902,Kensington-Cedar Cottage,1.0,1.0,689000.0,640.0,CONDO,1076.56,2
707 E 20th Ave PENTHOUSE 7,Kensington-Cedar Cottage,2.0,2.0,788800.0,725.0,CONDO,1088.0,3
2408 Grant St #206,Hastings-Sunrise,1.0,0.0,478000.0,420.0,CONDO,1138.1,1
588 E 5th Ave #235,Hastings-Sunrise,1.0,1.0,528000.0,686.0,CONDO,769.68,2
2741 Hastings St E #303,Hastings-Sunrise,2.0,2.0,699000.0,807.0,CONDO,866.17,3
215 E 33rd Ave #210,Riley Park,1.0,1.0,659900.0,617.0,CONDO,1069.53,1
66 King Edward Ave W,Riley Park,1.0,1.0,749900.0,665.0,CONDO,1127.67,2
2121 W 38th Ave #802,Riley Park,2.0,3.0,968000.0,925.0,CONDO,1046.49,3
3626 W 28th Ave #104,Dunbar-Southlands,2.0,2.0,1068000.0,1253.0,TOWNHOUSE,852.35,1
3349 Dunbar St #104,Dunbar-Southlands,3.0,3.0,1398000.0,1561.0,TOWNHOUSE,895.58,2
2947 W 41st Ave,Dunbar-Southlands,2.0,4.0,2058000.0,2563.0,SINGLE_FAMILY,802.97,3
1250 Burnaby St #606,West End,1.0,1.0,319000.0,560.0,CONDO,569.64,1
1251 Cardero St #806,West End,1.0,1.0,339000.0,436.0,CONDO,777.52,2
1219 Harwood St #604,West End,1.0,1.0,349000.0,547.0,CONDO,638.03,3
1250 Burnaby St #607,West End,1.0,1.0,349000.0,570.0,CONDO,612.28,3
1415 W Georgia St #113,Downtown,0.0,0.0,100000.0,200.0,SINGLE_FAMILY,500.0,1
1000 Beach Ave #33,Downtown,0.0,0.0,299000.0,40.0,SINGLE_FAMILY,7475.0,2
138 E Hastings St #402,Downtown,1.0,1.0,389900.0,452.0,CONDO,862.61,3
2600 E 49th Ave #227,Victoria-Fraserview,1.0,2.0,539000.0,800.0,CONDO,673.75,1
8469 Portside Ct,Victoria-Fraserview,3.0,3.0,1088000.0,1691.0,TOWNHOUSE,643.41,2
1980 E Kent Ave S,Victoria-Fraserview,3.0,3.0,1089000.0,1393.0,TOWNHOUSE,781.77,3
2580 Tolmie St #504,West Point Grey,1.0,1.0,688000.0,808.0,CONDO,851.49,1
3755 W 8th Ave #213,West Point Grey,2.0,2.0,1458000.0,1568.0,CONDO,929.85,2
2460 Sasamat St,West Point Grey,3.0,2.0,1650000.0,1556.0,TOWNHOUSE,1060.41,3
